food_name,nutrients,safe_in_pregnancy,recommended_trimester,serving_suggestions,category,diet_type
Dhokla,"Protein, Folate",Yes,All,Steam and serve with chutney,Snack,Vegetarian
Ragi porridge (16),"Iron, Calcium, Zinc",Yes,Third,Cook with milk or water and jaggery,Grain,Vegetarian
Bajra roti (2),"Iron, Fiber",Yes,Third,Pair with ghee and dal,Grain,Vegetarian
Suji halwa (15),"Iron, Energy, Zinc",Yes,Third,Use less sugar and ghee,Dessert,Vegetarian
Ragi porridge (3),"Iron, Calcium",Yes,Third,Cook with milk or water and jaggery,Grain,Vegetarian
Turmeric milk (12),"Immunity, Antioxidants, Zinc",Yes,All,Use small quantity of turmeric,Drink,Vegetarian
Murungai keerai (Drumstick leaves) (9),"Iron, Calcium, Vitamin A",Yes,All,Use in dal or poriyal,Leafy Green,Vegetarian
Murungai keerai (Drumstick leaves) (1),"Iron, Calcium, Vitamin A",Yes,Second,Use in dal or poriyal,Leafy Green,Vegetarian
Bottle gourd (15),"Hydration, Fiber",Yes,All,Boil or make into curry,Vegetable,Vegetarian
Idli with sambar,"Protein, Iron",Yes,All,Steam and serve with lentil soup,Meal,Vegetarian
Palak paneer (11),"Calcium, Iron, Protein",Yes,Second,Cook with less spice,Meal,Vegetarian
Sunflower seeds (6),"Vitamin E, Zinc",Yes,First,Sprinkle on salads or yogurt,Seed,Vegetarian
Multigrain bread (16),"Fiber, B-Vitamins, Zinc",Yes,Third,Use for sandwiches,Grain,Vegetarian
Suji halwa (8),"Iron, Energy",Yes,Second,Use less sugar and ghee,Dessert,Vegetarian
Coconut chutney (2),Healthy Fats,Yes,Second,Pair with dosa or idli,Condiment,Vegetarian
Dates (10),"Iron, Energy",Yes,All,Eat as snacks or with milk,Fruit,Vegetarian
Boiled fish curry (light) (2),"Protein, Omega-3",Yes,First,Use minimal oil and spices,Fish,Non-Vegetarian
Coconut chutney (8),Healthy Fats,Yes,All,Pair with dosa or idli,Condiment,Vegetarian
Boiled fish curry (light) (10),"Protein, Omega-3, Zinc",Yes,First,Use minimal oil and spices,Fish,Non-Vegetarian
Bottle gourd (1),"Hydration, Fiber, Zinc",Yes,Second,Boil or make into curry,Vegetable,Vegetarian
Mushrooms (12),"Vitamin D, Iron",Yes,Third,Cook well before eating,Vegetable,Vegetarian
Multigrain bread (7),"Fiber, B-Vitamins",Yes,All,Use for sandwiches,Grain,Vegetarian
Turmeric milk (3),"Immunity, Antioxidants",Yes,Second,Use small quantity of turmeric,Drink,Vegetarian
Dates (13),"Iron, Energy",Yes,Third,Eat as snacks or with milk,Fruit,Vegetarian
Mushrooms (15),"Vitamin D, Iron",Yes,Third,Cook well before eating,Vegetable,Vegetarian
Soy milk (11),"Calcium, Protein",Yes,All,Drink plain or in cereal,Dairy Alternative,Vegetarian
Sprouted moong salad (6),"Iron, Vitamin C",Yes,Third,Add lemon and tomatoes,Salad,Vegetarian
Zucchini,"Vitamin C, Fiber",Yes,All,Steam or grill lightly,Vegetable,Vegetarian
Mushrooms (11),"Vitamin D, Iron",Yes,Third,Cook well before eating,Vegetable,Vegetarian
Multigrain bread (17),"Fiber, B-Vitamins",Yes,First,Use for sandwiches,Grain,Vegetarian
Suji halwa (9),"Iron, Energy",Yes,Second,Use less sugar and ghee,Dessert,Vegetarian
Spinach,Iron,Yes,All,Steam and add to dals or smoothies,Vegetable,"Iron-Deficiency, Vegetarian"
Idli with sambar (15),"Protein, Iron",Yes,First,Steam and serve with lentil soup,Meal,Vegetarian
